acronyms	The complete address
ASIAA	Institute of Astronomy and Astrophysics, Academia Sinica, 11F of AS/NTU Astronomy-Mathematics Building, No.1, Sec. 4, Roosevelt Rd, Taipei 10617, Taiwan, R.O.C.
CITA	Canadian Institute for Theoretical Astrophysics, 60 St. George Street, Toronto, ON M5S 3H8, Canada
DI	Dunlap Institute for Astronomy and Astrophysics, 50 St. George Street, University of Toronto, ON M5S 3H4, Canada
DAA	David A. Dunlap Department of Astronomy and Astrophysics, 50 St. George Street, University of Toronto, ON M5S 3H4, Canada
UVA	Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands
MU	Department of Physics, McGill University, 3600 rue University, Montr\'eal, QC H3A 2T8, Canada
TSI	Trottier Space Institute, McGill University, 3550 rue University, Montr\'eal, QC H3A 2A7, Canada
DoSS	Department of Statistical Science, University of Toronto, Ontario Power Building, 700 University Avenue, 9th Floor, Toronto, ON M5G 1Z5, Toronto, Ontario, Canada
MITK	MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA
MITP	Department of Physics, Massachusetts Institute of Technology, 77 Massachusetts Ave, Cambridge, MA 02139, USA
UBC	Department of Physics and Astronomy, University of British Columbia, 6224 Agricultural Road, Vancouver, BC V6T 1Z1 Canada
PI	Perimeter Institute for Theoretical Physics, 31 Caroline Street N, Waterloo, ON N25 2YL, Canada
DRAO	Dominion Radio Astrophysical Observatory, Herzberg Research Centre for Astronomy and Astrophysics, National Research Council Canada, PO Box 248, Penticton, BC V2A 6J9, Canada
WVUPA	Department of Physics and Astronomy, West Virginia University, PO Box 6315, Morgantown, WV 26506, USA 
WVUGWAC	Center for Gravitational Waves and Cosmology, West Virginia University, Chestnut Ridge Research Building, Morgantown, WV 26505, USA
WVULCSEE	Lane Department of Computer Science and Electrical Engineering, 1220 Evansdale Drive, PO Box 6109, Morgantown, WV 26506, USA
CITA	Canadian Institute for Theoretical Astrophysics, 60 St.~George Street, Toronto, ON M5S 3H8, Canada
UW	Department of Computer Science, Math, Physics, \& Statistics, University of British Columbia, Okanagan Campus, Kelowna, BC V1V 1V7, Canada
UBCO	
YU	Department of Physics, Yale University, New Haven, CT 06520, USA
SR	Sidrat Research, 124 Merton Street, Suite 507, Toronto, Ontario, M4S 2Z2, Canada
UWM	Department of Physics, University of Wisconsin-Madison, 1150 University Ave, Madison, WI 53706, USA
UTPHYS	Department of Physics, University of Toronto, 60 St.~George Street, Toronto, ON M5S 1A7, Canada
TIFR	Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai, 400005, India
NCRA	National Centre for Radio Astrophysics, Post Bag 3, Ganeshkhind, Pune, 411007, India
NRAO	National Radio Astronomy Observatory, 520 Edgemont Rd, Charlottesville, VA 22903, USA
UM	Department of Physics and Astronomy, University of Manitoba, Winnipeg, MB R3T 2N2, Canada
UVA	Anton Pannekoek Institute for Astronomy, University of Amsterdam, Science Park 904, 1098 XH Amsterdam, The Netherlands
CALTECH	Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA
VENI	Veni Fellow
MSIF	McGill Space Institute Fellow
FRQNT	FRQNT Postdoctoral Fellow
OC	Department of Physics and Astronomy, Oberlin College, Oberlin, OH, 44074, U.S.A.
UCB	Department of Astronomy, University of California, Berkeley, CA 94720, United States
INAF	INAF - Osservatorio Astronomico di Cagliari - via della Scienza 5 - I-09047 Selargius, Italy
IUCAA	Inter University Centre for Astronomy and Astrophysics, Post Bag 4,  Pune University Campus, Ganeshkhind, Pune 411 007,India
BSRC	Berkeley SETI Research Center, University of California, Berkeley, CA 94720, United States
MAN	University of Manchester, Manchester, UK
SETI	SETI Institute, Mountain View, CA, USA
MALTA	University of Malta, Malta
PITT	Department of Physics and Astronomy and PITT PACC, University of Pittsburgh, Pittsburgh, PA 15260, USA
ICRAR	International Centre for Radio Astronomy Research (ICRAR), Curtin University, Bentley WA 6102 Australia
ASIAA	Institute of Astronomy and Astrophysics, Academia Sinica, Astronomy-Mathematics Building, No. 1, Sec. 4, Roosevelt Road, Taipei 10617, Taiwan
CIFAR	Canadian Institute for Advanced Research, 180 Dundas St West, Toronto, ON M5G 1Z8, Canada; 
PI	Perimeter Institute of Theoretical Physics, 31 Caroline Street North, Waterloo, ON N2L 2Y5, Canada
CCA	Center for Computational Astrophysics, Flatiron Institute, 162 5th Avenue, New York, NY 10010, USA
UCONN	Department of Physics, University of Connecticut, 196 Auditorium Road, U-3046, Storrs, CT 06269-3046, USA
SFU	Department of Statistics and Actuarial Science, 8888 University Dr W, Burnaby, BC V5A 1S6, Canada
YORK	Department of Physics and Astronomy, York University, 4700 Keele Street, Toronto, ON MJ3 1P3, Canada
UCSC	Department of Astronomy and Astrophysics, University of California Santa Cruz, 1156 High Street, Santa Cruz, CA 95060, USA
ASTRON	ASTRON, Netherlands Institute for Radio Astronomy, Oude Hoogeveensedijk 4, 7991 PD Dwingeloo, The Netherlands
BF	Banting Fellow
CCAPS	Cornell Center for Astrophysics and Planetary Science, Cornell University, Ithaca, NY 14853, USA
NRC	National Research Council of Canada, Herzberg Astronomy and Astrophysics, 5071 West Saanich Road, Victoria, BC V9E2E7, Canada
UCO	University of California Observatories, 1156 High Street, Santa Cruz, CA 95060, USA
CIERA	Center for Interdisciplinary Exploration and Research in Astronomy, Northwestern University, 1800 Sherman Avenue, Evanston, IL 60201, USA 
IPMU	Kavli Institute for the Physics and Mathematics of the Universe (Kavli IPMU), 5-1-5 Kashiwanoha, Kashiwa, 277-8583, Japan
NU	Department of Physics and Astronomy, Northwestern University, Evanston, IL 60208, USA
NAOJ	Division of Science, National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan
CSIRO	CSIRO Space \& Astronomy, Parkes Observatory, P.O. Box 276, Parkes NSW 2870, Australia
NHFP	NHFP Einstein Fellow
UCh	Department of Astronomy and Astrophysics, University of Chicago, William Eckhardt Research Center, 5640 S Ellis Ave, Chicago, IL 60637
CMU	McWilliams Center for Cosmology \& Astrophysics, Department of Physics, Carnegie Mellon University, Pittsburgh, PA 15213, USA
