chime_event_id,TNS,DM,ra,dec,wfall,hg_primary_ra,hg_primary_z_err,hg_primary_z,hg_primary_r_err,hg_primary_r,hg_primary_g_err,hg_primary_g,hg_primary_dec,gal_b,gal_l,DM_YT20,DM_NE2001,Note,RM,pol_fraction,Stokes_parameters_corrected,fdf_clean,burst_profile,pol_pipeline_note,tau_scatt_ms,tau_scatt_unc_ms,tau600_ne2001,fitburst_plot,fitburst_type,fitburst_note,P_Ox,hg_notes,redshift,simbad_link,redshift_info,hg_id,redshift_err,NE2001 scattering time @ 600MHz,max_z_of_R1_host_mr=23,max_z_from_DM
306528286,20230730A,312.5123,54.66442992,33.15930412,,54.6649046,0.09069599956274033,20.40250015258789,0.12901100516319275,21.774599075317383,-999.0,-999.0,33.16066432,-17.816512727156546,158.81654301927048,33.32834336618652,85.1558,,216.0425813,0.809,,,,"Remaining inst delay, also confusion in sign of RM. Ask Ayush.",0.644 +- 0.004,0.004,,,manual scint,FB done. ,0.9818883837,,0.2115,,F4-z is 0.2115. zphot= 0.3192104 +- 0.162667679515143 PS1_STRM,Pan-STARRS 147790546649113381,0.0001,0.0060941358024691,0.0969899665551839,0.0969899665551839
272367619,20230222B,187.7517,238.7389593,30.89870031,,238.7236101156936,0.08452111390927336,21.644358,0.041579324987631026,21.954784,0.055490291594566046,22.7972,30.852774357744355,49.97885821882219,49.61755816321315,38.41675451626429,27.7329,,Error,Error,,,,,< 0.0353,0.0,,,"MCMC profile fit, dsamp 8, 5peaks",Done. Scattering ruled out.,0.9820862555,,0.11,https://www.legacysurvey.org/viewer?ra=238.7380&dec=30.9000&layer=ls-dr10&zoom=16&photoz-dr9&desi-tiles-edr&desi-spec-edr,F4-z from Lick,DECaL 8796125887267257,0.0001,0.0006541666666666,0.1939799331103679,0.1939799331103679
272350056,20230222A,706.0603,106.9599216,11.2245671,,106.96001895,-999.0,-999.0,0.006004999857395887,18.836700439453125,0.009089999832212925,19.300199508666992,11.22410689,8.69537081475318,204.71614365742647,35.996802570298314,134.2015,,-72.96811398,0.235,,,,"FDF plot shows RM around -1700, why does the results json show a different value? Lot of noise in FDF, maybe it is depolarised due to scattering? Deroate with -1700 RM and see what burst_profile plot looks like",15.8497,0.1495,,,scat high res,FB Done. Can fit for 2 peaks after decreasing tres,0.0,,0.12232,,Lordrick-z is 0.12232,Pan-STARRS 121461069605007945,0.0001,0.0331944444444444,0.1872909698996655,0.1872909698996655
275629567,20230311A,364.9632,91.11103595,55.94589307,,91.11042717,0.019161999225616455,18.933500289916992,0.017903000116348267,19.572500228881836,0.020942000672221184,20.26449966430664,55.94492195,16.040142453287938,157.71376852165133,33.86388348438504,92.4528,,-115.1793917,0.812,,,,Looks like L is dropping and V is rising in the last component. Interesting. Dsamp more to increae SNR and see L/I in burst_profile plot.,0.1004,3e-05,,,manual scint dsamp 8,FB done. Try scint without scattering. Maybe this burst is not scattered at all. Plot burst in subands to check. ,0.9759671237,,0.1918,,Keck: 0.1918,Pan-STARRS 175130911105314689,0.0001,0.0079938271604938,0.1705685618729097,0.1705685618729097
300938875,20230703A,291.2725,184.6243411,48.72995867,,184.6711960010083,0.012217400330060864,19.224855,0.009029414284748214,19.492994,0.008265147628109547,19.896114,48.76887092597525,67.47496968088419,137.20993762018662,30.51594323743888,26.9276,,29.58312651,1.115,,,,"Looks good. But check the L^2 + V^2 for the second component. Cannot trust pol fraction. Can measure the RM of each component independently, change in RM can be cool. Increase dsamp to get all components in burst profile.",< 0.041,0.0,,,"MCMC profile fit, dsamp 8, 6peaks",Done. Scattering ruled out. Take 2*smallest burst width as scat upper lim.,0.9908287452,,0.1184,,z = 0.098: DESI DR9 photo-z; It is a real galaxy: https://www.legacysurvey.org/viewer?ra=184.6225&dec=48.7251&layer=ls-dr9&zoom=16&sga-parent&sga&photoz-dr9&desi-tiles-edr&desi-spec-edr ,DECaL 8797230522435146,0.0001,0.0004837962962962,0.197324414715719,0.197324414715719
268786306,20230203A,420.05,151.6629054,35.69400926,,151.624783764092,0.06326716209277464,21.130323,0.08151784176554833,22.127092,0.08417347241861425,22.547865,35.65580868571878,54.08809755996116,188.7126284372364,29.02152643461181,36.2622,,-115.2441841,0.998,,,,"RM is good. Not depolarising with scat, interesting. Almost 100% linear pol throughout the burst width. ",9.496,0.0692,,,scat high res,"FB Done. If its an exponentially increasing burst, it can have two scat screens.",0.9926716354,,0.1464,,Lordrick-z,DECaL 8797226880009355,0.0001,0.0007456790123456,0.197324414715719,0.197324414715719
326456063,20231011A,186.2933,18.2411005,41.74909795,,18.24170617,0.013717000372707844,17.653600692749023,0.0103169996291399,17.9237003326416,0.013213999569416046,18.352100372314453,41.74899511,-20.942985636399055,127.22869984120946,35.02813768454709,70.3502,,-192.8313068,0.667,,,,Seems like L/I increases for the end peaks. Weird expo rising peak has less L/I. ,Fitburst not run,,,,,,0.9955960584,,0.0783,,Keck: 0.0783,Pan-STARRS 158090182417819186,0.0001,0.0039791666666666,0.1872909698996655,0.1872909698996655
341758878,20231202A,437.1,65.03038787,38.63327755,,65.03060682,0.12364699691534042,21.137399673461914,0.17594300210475922,22.745800018310547,-999.0,-999.0,38.6328657,-8.146169561007202,161.4881106217007,36.4872671056155,142.7244,,,,,,,"Check L dependence on freq.  Since PA doesn't change, RM in the second peak shouldn't change. Prob depolarising due to scat.",,,,,,,0.9933624664,,,,Could not get zphot from Pan-STARRS. F4PZ says too dusty,Pan-STARRS 154360650307570235,,0.0445601851851851,0.0501672240802675,0.0501672240802675
341477821,20231201A,169.4,54.58929449,26.81767204,,54.58979576,-999.0,-999.0,0.3201560080051422,22.880199432373047,-999.0,-999.0,26.81638383,-22.77023216551816,163.04052679201578,32.069174958026565,69.9521,,,,,,,"QU fit did something weird, FDF RM looks correct -> counted oscillations in Stokes Q over the freq band, and converted it to RM, checks out (remember, Stokes Q just has RM but cannot tell what sign). Perform QU fit on Stokes Q, which does not have inst delay. ",,,,,,,0.946022236,,0.17583069,,zphot= 0.17583069 +- 0.0186939412537729 PS1_STRM_WISE. Real galaxy!,Pan-STARRS 140170545876545920,0.018,0.0034837962962962,0.1705685618729097,0.1705685618729097
338403209,20231123A,302.1,82.6232485,4.475540697,,82.62263245,0.01159599982202053,17.793800354003906,0.008833000436425209,18.294300079345703,0.013059999793767929,18.668699264526367,4.47438422,-15.742749926584564,199.30944205140392,33.12444524183002,89.7486,DM used by make_input is wrong. Use DM = 300 or from the baseband pipeline.,,,,,,,,,,DM used by make_input is wrong. Use DM = 300.,,,0.9660087858,,0.06860938,,zphot= 0.06860938 +- 0.00888159718073157 PS1_STRM_WISE,Pan-STARRS 113360826227259720,0.008881597181,0.0070841049382716,0.1471571906354515,0.1471571906354515
330976597,20231025B,368.62,270.7873297,63.98463133,,270.8666681934004,0.13239896646657376,22.01977,0.15810897210257668,23.08303,0.1290792212465932,23.508924,63.949016972070474,29.434153022233076,93.42812474063496,37.73193907097983,48.5888,,,,,,,"Second peak doesn't have L/I. Could be scattering, or superposition of two bursts avgereaged out the PA and depolarised the second one. Too weak to tell anything for sure. ",,,,,,,0.9388679807,,0.364,https://www.legacysurvey.org/viewer?ra=270.7860&dec=63.9856&layer=ls-dr10&zoom=16&photoz-dr9,z = 0.364 +- 0.07 DR9 zphot; need to run PATH with lower P(U)! It is set to P(U) = 0.1 on chime-ffff-pz,DECaL 8797233725048371,0.07,0.001841049382716,0.1939799331103679,0.1939799331103679
325634353,20231008A,220.38,347.2750477,48.72042195,,347.27485943,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,48.72201979,-10.772690820017097,106.07331503274388,43.2570713115478,125.3177,"R117, ignore. ",,,,,,Ignore. ,,,,,,,0.9243631945,,0.0771,This is 20220912A (R117),zphot= 0.17119311 +- 0.0463336810818657 PS1_STRM_WISE; Ravi et al 2023 zspec = 0.0771,Pan-STARRS 166443472702098523,0.0001,0.0184259259259259,0.1538461538461538,0.1538461538461538
321375070,20230923A,918.33,206.6141041,45.40800828,,206.65623990206058,0.056815062087509784,21.511145,0.09859506453423586,22.520472,0.2239530326995218,24.062994,45.447291030439196,68.68850643733089,95.5906614828815,31.969190301040687,28.2567,,,,,,,,,,,,,,0.702269302,,0.481,,"0.140, 0.964, Note: PATH has missed a big galaxy -- re-calculate PATH probability and add it back in. I'll assume it is the middle of the three galaxies it is overlapping (z = 0.9, 0.4,0.1)",DECaL 8797229689078223,0.068,0.0005152777777777,0.197324414715719,0.197324414715719
325140573,20231005A,188.8,246.0280041,35.44871213,,,,,,,,,,44.35315364395239,57.1652962860687,39.135916888355645,33.4704,"Very bright, lowz, low DM. Can do DM budgeting v well. ",,,,,,"Highish RM.. Are scat and RM coming from the same (local) media? Peak at 0 in FDF is always gonna be there, because it doesn't fit out inst delay. ",,,,,,,0.9972578398,,0.1032,,V/147/SDSS12,,0.0001,0.0009305555555555,0.197324414715719,0.197324414715719
339589360,20231128A,332.4,199.5782006,42.9927075,,,,,,,,,,73.22400427801315,105.68523472327593,31.32360798116619,25.0063,"R34, check with Alice. See what host looks like for this one. Run Adaeze's code to see if there is a VLASS source here. ",,,,,,,,,,,,,0.9888841592,,0.1078,,source=J/ApJS/223/20/spec (SDSS),,0.0001,0.0004310185185185,0.197324414715719,0.197324414715719
