Internal Name,MJD,DM,Width,SNR,RA,Dec,PosErr,Notes,Redshift
220319aaeb,59657.932756968,110.95,0.16,79,32.17791667,71.035,0.6,FRB 20220319D or Mark,0.011228
220914aabz,59836.1459661151,630.703,0.524288,9.64463,282.05679167,73.33691389,0.93,FRB 20220914A or Elektra,0.1139
220426aaaw,59708.4944990805,270.26,0.524288,21.5075,282.67,70.24383333,2.2,FRB 20220509G or Jackie,0.0894
220207aabh,59617.8085036402,263,0.524288,59.9635,310.199525,72.88232722,0.63,FRB 20220207C or Zach,0.04304
220307aaae,59645.8456342526,499.328,0.524288,11.9059,350.87449583,72.19238611,1.72,FRB 20220307B or Alex,0.248123
220310aaam,59648.2417207443,462.657,1.048576,68.41,134.7205,73.49083333,1.9,FRB 20220310F or Whitney,0.477958
220418aaai,59687.3557284763,624.124,1.048576,10.8782,219.105575,70.09594444,1.356,FRB 20220418A or Quincy,0.622
220506aabd,59705.5970129235,396.651,0.524288,48.9187,318.04483333,72.82727778,1.11,FRB 20220506D or Oran,0.30039
220825aaad,59816.2572924695,649.893,1.048576,15.0645,311.98145,72.58496944,0.78,FRB 20220825A or Ansel,0.241397
220920aacl,59842.9815705163,314.976977839954,0.524288,14.3507,240.25708333,70.91880028,1.02,FRB 20220920A or Etienne,0.158239
221012aaab,59864.0510912293,440.357705236579,2.097152,9.41028,280.79870833,70.52420833,1.12,FRB 20221012A or Juan,0.284669
