name,chime_event_id,ra_frb,dec_frb,b_err,a_err,theta,tags,frb_survey,DM,include,Localization & PATH note,HG/Science note,DESI quicklook
FRB20231110B,335002503,171.6167903,35.8067028,0.0005555555556,0.008815284496,9.067814426,CHIME-KKO,CHIME/FRB,726.6605835,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=171.616790344326&dec=35.8067027998352&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231230B,348570237,355.7728184,78.08919367,0.0005555555556,0.004584884463,6.537953311,CHIME-KKO,CHIME/FRB,476.7572632,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=355.772818402066&dec=78.0891936668134&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231005A,325140573,246.0280041,35.44871213,0.0005555555556,0.003164149154,10.48241692,CHIME-KKO,CHIME/FRB,188.8427887,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=246.0280040755&dec=35.4487121287435&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231028B,331641308,151.3618498,54.37889347,0.0005555555556,0.00312481346,9.096674265,CHIME-KKO,CHIME/FRB,333.61,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=151.361849816323&dec=54.3788934719693&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231009A,326033351,211.7568915,17.2114115,0.0005555555556,0.01418941431,8.043600524,CHIME-KKO,CHIME/FRB,391.0299072,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=211.756891493167&dec=17.2114115011551&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231224B,347265274,172.9701579,82.8727228,0.0005555555556,0.004822911436,2.579304354,CHIME-KKO,CHIME/FRB,373.2374573,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=172.970157873465&dec=82.8727228034082&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230805A,308358106,36.01767309,52.69548717,0.0005555555556,0.007336941912,10.36014116,CHIME-KKO,CHIME/FRB,638.506958,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=36.0176730936336&dec=52.6954871662412&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231204A,342256558,207.9990337,48.11599668,0.0005555555556,0.007262190243,9.486635972,CHIME-KKO,CHIME/FRB,222,yes,,Repeater of FRB 20190303A associated with a galaxy merger,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=207.999033710675&dec=48.11599668345&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231203A,341979347,113.7260276,52.73416313,0.0005555555556,0.01709609835,9.341371651,CHIME-KKO,CHIME/FRB,335.2262573,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=113.726027567673&dec=52.734163130458&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231214A,344693725,143.5461092,6.368813788,0.0005555555556,0.003647345683,5.119172858,CHIME-KKO,CHIME/FRB,243.8376923,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=143.546109193017&dec=6.36881378793919&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231005B,324962446,344.3805471,15.22387775,0.0005555555556,0.005212596537,8.084904991,CHIME-KKO,CHIME/FRB,640.9332275,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=344.380547092994&dec=15.223877751007&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231229A,348285021,26.46782524,35.11291775,0.0005555555556,0.003174812364,10.05299881,CHIME-KKO,CHIME/FRB,198.54776,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=26.4678252438447&dec=35.1129177472066&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231128A,339589360,199.5782006,42.9927075,0.0005555555556,0.008303263977,9.904935674,CHIME-KKO,CHIME/FRB,332.4,yes,,Potential PRS candidate; potential repeater of FRB20191106C,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=199.578200643526&dec=42.9927074964711&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231231A,348687097,342.4018705,16.42678143,0.0005555555556,0.003157903314,8.575732328,CHIME-KKO,CHIME/FRB,1247.494629,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=342.401870467405&dec=16.4267814344415&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231007A,325515646,185.384974,79.8851437,0.0005555555556,0.006812817301,4.24326327,CHIME-KKO,CHIME/FRB,819.666626,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=185.384974005139&dec=79.885143700195&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231223C,347082860,259.5446492,29.49793687,0.0005555555556,0.003148474211,9.717681959,CHIME-KKO,CHIME/FRB,179.5421753,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=259.544649177547&dec=29.4979368707501&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231209A,343537552,180.9095146,50.07879183,0.0005555555556,0.006077783962,9.610028269,CHIME-KKO,CHIME/FRB,1232.128418,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=180.909514598069&dec=50.0787918314104&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231025B,330976597,270.788071,63.989077,0.000556,0.007113,9.952713,CHIME-KKO,CHIME/FRB,368.3849487,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=270.788071&dec=63.989077&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231025C,330838705,71.977226,33.237985,0.000556,0.004295,9.228786,CHIME-KKO,CHIME/FRB,509.9159546,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=71.977226&dec=33.237985&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231126A,339069867,21.816031,89.288944,0.000556,0.016421,-6.849878,CHIME-KKO,CHIME/FRB,673.2831421,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=21.816031&dec=89.288944&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230928A,322840327,104.407554,60.572895,0.000556,0.003102,7.425967,CHIME-KKO,CHIME/FRB,533.7577515,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=104.407554&dec=60.572895&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
