,frb_ra,frb_dec,DM,primary_z_spec,gal_b,gal_l,repeater,offset_kpc,R_eff_kpc,mass_10,sfr,log_ssfr,M_r,u_minus_r,metallicity,DM_NE2001,tau_NE2001_600,DM_YT20,dm_igm,DM_host_restframe,primary_mag,extinction_mags,frb_ra_err,frb_dec_err,a_error,b_error,theta,frb_coarse_ra,frb_coarse_dec,frb_ra_err_coarse,frb_dec_err_coarse,int,MJD,Width,SNR,poserr,DM_eg,Telescope,chime_event_id,ra_frb,dec_frb,b_err,a_err,tags,frb_survey,include,locnote,hgnote,desi_cutout,primary_id,secondary_id,primary_ra,primary_dec,primary_P_Ox,primary_z_phot_median,primary_z_phot_l95,primary_z_phot_u95,secondary_ra,secondary_dec,secondary_P_Ox,secondary_z_phot_median,secondary_z_phot_l95,secondary_z_phot_u95,secondary_z_spec,secondary_mag,l_prs_3ghz,primary_z_spec_source,flux,flux_err,fluence,fluence_err,dm_struct
0,82.99166666666666,33.147777777777776,557.0,0.1927,-0.22399579025578606,174.87832870595633,y,0.8,0.66,0.01,0.15,-8.99,-16.2,1.49,8.08,188.4272,0.14822530864197533,40.60767217045384,165.87374594780246,135.90289417434698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,93.22683333333333,4.671055555555556,517.45,0.3304,-6.389941533517953,204.33679844995345,y,10.2,5.80,0.23,1.93,-9.08,-20.18,0.90,8.70,151.7233,0.06435956790123458,37.66352580641643,290.8312177621453,27.985535501682453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29.503125833333335,65.71675422222222,348.81,0.0337,3.7250308917353583,129.7108257567826,y,5.4,3.57,0.22,0.06,-10.58,-19.46,1.53,-,198.9577,0.14629629629629634,42.723326808202074,28.015832014078832,76.53394715847836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,326.1052291666667,-40.90002777777778,361.42,0.3212,-49.41466406014762,0.7424471222357889,n,3.4,2.75,1.32,0.88,-10.18,-20.81,1.78,8.93,40.4973,0.001031635802469136,45.118040222837756,282.34761389142267,-4.952281345943393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,322.41566666666665,-79.47569444444444,363.6,0.2912,-33.49306230594833,312.6537478490796,n,2.3,4.43,0.47,0.86,-9.74,-19.87,1.44,8.70,57.3996,0.002248456790123457,46.53530759468316,254.84685517460215,3.7315963682734727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,334.01979166666666,-7.898222222222222,338.7,0.1178,-48.529561576596,53.20879216426407,n,6.5,2.84,1.16,0.69,-10.22,-21.22,1.40,8.85,37.2698,0.0009189814814814816,38.39047361256061,99.88203576888127,145.9632229545161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,320.7454583333334,-79.39758333333334,321.4,0.3778,-33.281815030920406,312.9351803642976,n,11.7,2.15,0.35,0.27,-10.11,-19.29,1.29,8.71,57.8276,0.002287808641975309,46.764722128928554,334.5402203134766,-85.44966064915455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,329.41949999999997,-80.35799999999999,593.1,0.522,-33.9022728028479,310.90779786407427,y,1.6,2.94,0.08,0.42,-9.29,-19.01,0.95,-,56.4874,0.0021658950617283955,45.74060069213176,469.4492664902045,14.075382928819828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,183.9797,-13.021,504.1,0.2365,48.935858358405184,289.6971464553776,n,2.7,3.94,1.42,0.65,-10.34,-20.37,1.51,9.03,38.4912,0.000939814814814815,36.23334318315826,205.14605031857974,181.34201900385122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,323.3516,-54.7477,714.9,0.234,-44.90395865956072,341.22750924545636,n,11.1,5.55,4.64,8.06,-9.76,-22.13,1.67,8.94,44.1741,0.0012322530864197533,46.6203115176785,202.90448043440298,341.3299092770814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
