name,primary_z_spec,frb_ra,frb_dec,DM,gal_b,gal_l,primary_mag,extinction_mags,published_M*,DM_YT20,DM_NE2001,tau_NE2001_600,dm_igm,DM_host_restframe,M_r,repeater,offset_kpc,R_eff_kpc,mass_10,sfr,log_ssfr,u_minus_r,metallicity,frb_ra_err,frb_dec_err,a_error,b_error,theta,frb_coarse_ra,frb_coarse_dec,frb_ra_err_coarse,frb_dec_err_coarse,int,MJD,Width,SNR,poserr,DM_eg,Telescope,chime_event_id,ra_frb,dec_frb,b_err,a_err,tags,frb_survey,include,locnote,hgnote,desi_cutout,primary_id,secondary_id,primary_ra,primary_dec,primary_P_Ox,primary_z_phot_median,primary_z_phot_l95,primary_z_phot_u95,secondary_ra,secondary_dec,secondary_P_Ox,secondary_z_phot_median,secondary_z_phot_l95,secondary_z_phot_u95,secondary_z_spec,secondary_mag,l_prs_3ghz,primary_z_spec_source,flux,flux_err,fluence,fluence_err,dm_struct
FRB20200430A,0.1608,229.7064,12.3769,380.0,52.503290109196286,17.140400394799595,,,9.51,42.008297805840165,27.1822,0.0006222222222222224,137.60162389500144,201.0597051296631,-18.25,n,1.7,1.64,0.21,0.26,-9.89,2.08,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20211127I,0.0469,199.8082083333333,-18.837805555555555,227.0,43.54289199020826,312.02061266495576,14.97,0.20363302008047152,9.445785899468898,40.997169447054205,42.4707,0.0012345679012345683,39.119796548974165,109.3092724687579,-21.897355661035714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20211212A,0.0715,157.35091666666665,1.3609444444444445,206.0,47.31578892888164,244.00763937716783,16.44,0.12051364922865973,10.245785899468897,31.644840236775792,38.7516,0.0009166666666666669,59.994432597171354,81.01517975842565,-21.297429061544634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20210807D,0.1293,299.22141666666664,-0.7623611111111112,251.9,-14.877787619701783,39.861201353963544,17.17,0.6041199103939695,10.935785899468899,73.20065088642272,121.1697,0.015169753086419754,109.93572052303651,-59.18217644270231,-22.42060987066764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20220912A,0.0771,347.2704166666666,48.707055555555556,413.0,-10.783796021387358,106.06512872017737,19.65,0.651794038899004,10.0,43.25218765478691,125.2034,0.018379629629629635,64.78696502082293,193.61674651310065,-18.79080815474657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20220725A,0.1926,23:33:15.65,-35:59:24.9,290.4,-71.18630684828271,0.0016505229158555945,17.843,0.047242594349677036,10.7137,31.464842483016977,29.1711,0.0004712962962962964,165.78408315243536,76.30251742715953,-22.139603795043573,,,,,,,,,0.46,0.45,0.46,0.44,-56.1,23:33:32.1,-36:07:51,10,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20230526A,0.157,01:28:55.83,-52:43:02.4,361.4,-63.472102989022204,290.17096006050537,21.08,0.036723816098767015,9.314208,35.828247220901964,32.7591,0.0006222993827160495,134.23936299255027,183.46929628303576,-18.402201783528977,,,,,,,,,0.43,0.42,0.43,0.42,-65.3,01:29:27.5,-52:46:08,2,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20231226A,0.1569,10:21:27.30,+06:06:36.9,329.9,48.645821973198515,236.5768186336059,18.99,0.04986598482544415,9.592206586,31.135655971053204,32.9472,0.0006512345679012347,134.1508824424858,152.3246980293767,-20.503827686465083,,,,,,,,,0.48,0.51,0.511,0.479,-13.2,10:21:07.6,06:07:46,7,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20240210A,0.023686,00:35:07.10,-28:16:14.7,283.73,-86.211564856287,14.439581956997664,15.13,0.04369032946736422,9.669432213,33.24567743756915,29.2195,0.0004969135802469136,19.639944942542215,206.40056447119332,-20.057333792897346,,,,,,,,,0.53,0.51,0.55,0.49,-54.1,00:39:55.0,-27:39:35,14,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20220920A,0.158239,240.25708333,70.91880028,314.976977839954,38.89332117728301,104.92312676414824,,,9.81,33.68447994472716,39.8597,0.001131172839506173,135.33563700784947,122.88586952903505,-19.96,,,,,,,,,,,,,,,,,,220920aacl,59842.9815705163,0.524288,14.3507,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20230628A,0.1265,166.78633333333332,72.28139166666666,345.15,42.66025986179245,133.41218034129506,20.15,0.0,9.255785899468897,30.0,9.149999999999977,,107.48786684376392,223.62391800049994,-18.785079352811643,,,,,,,,,,,,,,,,,,,,,,,306.0,DSA-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20230222B,0.11,,,188.034,49.978718058566095,49.61757478939565,17.422754,0.0896148756746187,10.185,38.41679498080869,27.733,0.0006541666666666,93.12910154093254,31.918164860867225,-21.275328105070958,,,,,,,,,,,,,9.886957,,,,,,,,,,,,272367619.0,238.739123,30.898695,0.000556,0.003194,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=238.739123&dec=30.898695&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 10995642118704500,DECaL 10995642118704491,238.737954285233,30.899874154744,0.980619002624006,0.0892140418291091,0.0468502566218376,0.1315778270363807,238.737395958022,30.8989047684493,0.0012815929745834,0.2435727715492248,0.0,1.0376132130622864,-99.0,23.530993,$<2\times10^{29}$,Lick-2023B-1,91.35,9.14,37.55,3.8,187.75
FRB20230926A,0.0553,,,222.8102264,27.48398832577433,68.23528265660796,15.458912,0.0900315560474441,10.48752769,43.99948073846618,52.62,0.0022638888888888,46.22201183003261,84.3910048123832,-21.665569140818818,,,,,,,,,,,,,8.87811,,,,,,,,,,,,321977347.0,269.124876,41.814304,0.000556,0.00499,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=269.124876&dec=41.814304&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907735417918096,DECaL 9907735417918129,269.124186336877,41.8099992472618,0.995846999602502,0.0584751665592193,0.0354570057243108,0.0814933273941278,269.127482115693,41.8135899574552,0.0020463987089983,0.0828924924135208,0.0,0.3101043254137039,0.0,20.396406,$ 4\times10^{28}$,Lick-2024A-1,26.78,2.78,28.41,3.08,222.77
FRB20231011A,0.0783,,,186.4165344,-20.942985636399055,127.22869984120946,17.9237003326416,0.1767526249580172,9.587295132,35.02813768454709,70.3502,0.0039791666666666,65.81572487656828,16.414391383869283,-20.077385338980772,,,,,,,,,,,,,13.73469531,,,,,,,,,,,,326456063.0,18.2411005,41.74909795,0.0005555555556,0.003193388357,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=18.2411005031846&dec=41.7490979473684&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 158090182417819186,Pan-STARRS 158120182416650397,18.24170617,41.74899511,0.991332668158406,0.07240619,0.0486153438595075,0.0961970361404924,18.24179007,41.76653604,3.12330330952086e-08,-1.0,-1.0,-1.0,-1.0,19.2996006011962,$<1\times10^{29}$,Keck-2023B-3,129.53,12.96,58.32,5.86,186.30
FRB20231123A,0.0729,,,302.0675659,-15.742749926584564,199.30944205140392,18.2943000793457,0.7947853400278461,9.415982974,33.82146042129261,89.7486,0.0070841049382716,61.18630552571421,125.86318642956634,-20.161603709458106,,,,,,,,,,,,,6.842796134,,,,,,,,,,,,338403209.0,82.6232485,4.475540697,0.0005555555556,0.004515251814,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=82.6232485043855&dec=4.47554069667685&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 113360826227259720,Pan-STARRS 113360826213986510,82.62263245,4.47438422,0.955909515968446,0.06860938,0.0508461856385368,0.0863725743614631,82.62160756,4.47172376,0.0261723594285503,-1.0,-1.0,-1.0,-1.0,21.167100906372,$<9\times10^{28}$,Lick-2024B-1,52.66,5.31,56.84,5.85,302.06
FRB20231128A,0.1079,,,332.4,73.22400427801314,105.68523472327594,17.306005,0.0551673322459196,9.472367357,31.32360798116683,25.0063,0.0004310185185185,91.3124592319318,204.692981364608,-21.312791414146236,,,,,,,,,,,,,9.904935674,,,,,,,,,,,,339589360.0,199.5782006,42.9927075,0.0005555555556,0.008303263977,CHIME-KKO,CHIME/FRB,yes,,Potential PRS candidate; potential repeater of FRB20191106C,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=199.578200643526&dec=42.9927074964711&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907735753852365,DECaL 9907735753852318,199.580129488901,42.9997130685679,0.984675201253371,0.1168547719717025,0.0732319019734859,0.1604776419699192,199.57488012743,42.9791717768237,0.0050841803421059,0.4944689869880676,0.4010461121797561,0.5878918617963791,0.0,21.445442,$ 2\times10^{29}$,Lick-2024A-1,2.77,0.32,67.68,6.87,331.61
