name,classification,reference,alt_names,position note,redshift,ra_hms,dec_dms,ra_decimal,dec_decimal,central_freq,resolution_megalambda,imaged?,peak_flux_jy,total_flux_jy,flux_percent_err,source
J0108+0135,blazar,clark1975,PKS 0106+01; 4C 01.02,,,01h08m38.77110544s,"+01d35'00.3171844""",17.161546270000,1.583421440000,111,0.944055,,1.1,,C,Y
J013741.2+330935,,clark1975,3C 48,,,01 37 41.29954456,33 09 35.1341660,24.422081440000,33.159759490000,74,0.62937,,2.6,,A,Y
,,clark1975,,,,,,,,111,0.944055,,1.6,,A,
,,clark1975,,,,,,,,196,1.66698,,0.8,,B,
J0119+3210,,clark1975,OC328; 4C 31.04; PKS 0116+31; RFC J0119+3210,,,01h19m35.00087601s,"+32d10'50.0619670""",19.895836980000,32.180572770000,111,0.944055,,1.2,,E,Y
,,clark1975,,,,,,,,196,1.66698,,0.6,,E,
NVSS J014109+135328,,clark1975,3C49; NVSS J014109+135328; 4C 13.10,low resolution; NVSS position,, 01 41 09.1  , 13 53 28 ,25.287916670000,13.891111110000,111,0.944055,,1.4,,D,Y
,,clark1975,,,,,,,,196,1.66698,,1,,B,
J0204+1514,,clark1975,NRAO 91; 4C 15.05; PKS 0202+41,,,02h04m50.41389294s,"+15d14'11.0436097""",31.210057887250,15.236401002695,111,0.944055,,1.2,,C,Y
,,clark1975,,,,,,,,196,1.66698,,1.2,,B,
J0204+3649 ,quasar,rampadarath2009, 0201+365 ,,2.912, 02h04m55.596s ,  +36d49m17.996s,31.231650000000,36.821665555556,327,8, Y ,0.337,0.481,,Y
ICRF J031857.8+162832,,clark1975,"CTA21; 
4C 16.09; PKS 0316+16",,,03 18 57.80304294,16 28 32.6782325,49.740846010000,16.475743950000,74,0.62937,,1.5,,D,Y
,,clark1975,,,,,,,,111,0.944055,,1.2,,A,
J0319+4130 ,galaxy,rampadarath2009,3C84 ,,0.017559, 03h19m48.160s , +41d30m42.103s  ,49.950666666667,41.511695277778,327,9, Y ,2.289,4.625,,Y
J0433+0521,galaxy,clark1975,3C120; 4C 05.20,,,04h33m11.09553066s,"+05d21'15.6192655""",68.296231377750,5.354338684861,111,0.944055,,1,,C,Y
J0405+3803 ,galaxy,rampadarath2009, 4C+37.11,,0.055, 04h05m49.262s , +38d03m32.236s  ,61.455258333333,38.058954444444,327,4, Y ,0.427,0.539,,Y
J0407-3303 ,quasar,rampadarath2009, 0405-331 ,,2.562, 04h07m33.914s ,-33d03m46.359s  ,61.891308333333,-33.062877500000,327,9.5, Y ,0.2,0.225,,Y
J0418+3801 ,galaxy,rampadarath2009, 3C111 ,,0.0485, 04h18m21.277s , +38d01m35.900s  ,64.588654166667,38.026638888888,327,6, Y ,0.328,0.533,,Y
J0423-0120 ,quasar ,rampadarath2009, - ,,0.914, 04h23m15.801s ,-01d20m33.065s  ,65.815837500000,-1.342518055556,327,9.5, Y ,0.869,1.099,,Y
J0433+0521 , G ,rampadarath2009, 3C120 ,,0.0331, 04h33m11.096s , +05d21m15.619s  ,68.296233333333,5.354338611111,327,9.5, Y ,1.263,1.771,,Y
J0440-4333 , quasar ,rampadarath2009, 0438-436 ,,2.863, 04h40m17.180s , -43d33m08.604s  ,70.071583333333,-43.552390000000,327,,,-1,-1,,
"
ICRF J052109.8+163822",,clark1975,3C138; 4C 16.12,,,05h21m09.88596258s,"+16d38'22.0515459""",80.291191510750,16.639458762750,196,1.66698,,1,,D,Y
J0542+4951 ,Quasar,rampadarath2009, 3C147 ,,0.545, 05h42m36.138s , +49d51m07.234s  ,85.650575000000,49.852009444445,327,8, Y ,3.85,40.98,,Y
J0539-2839 ,Quasar,rampadarath2009, 0537-286 ,,3.104, 05h39m54.281s , -28d39m55.948s  ,84.976170833333,-28.665541111111,327,9.5, Y ,0.498,0.564,,Y
J073807.3+174218,,clark1975,VRO 17.07.02;  PKS 0735+178,,,07 38 07.39375312,17 42 18.9981506,114.530807300000,17.705277260000,111,0.944055,,0.8,,D,Y
J0739+0137,Quasar,rampadarath2009,OI061; J073918.0+013704; PKS 0736+01,,,07 39 18.03389906,01 37 04.6177501,114.825141250000,1.617949380000,196,1.66698,,0.9,,,Y
